===== CUSTOMER RETENTION ANALYSIS =====
Cohort: 2024-08-01 | Activity Month: 2024-08-01 | Active Customers: 39 | Cohort Size: 39 | Retention: 100.0%
Cohort: 2025-12-01 | Activity Month: 2026-05-01 | Active Customers: 2 | Cohort Size: 11 | Retention: 18.18%
Cohort: 2025-12-01 | Activity Month: 2026-06-01 | Active Customers: 1 | Cohort Size: 11 | Retention: 9.09%
Cohort: 2025-12-01 | Activity Month: 2026-07-01 | Active Customers: 1 | Cohort Size: 11 | Retention: 9.09%
Cohort: 2025-12-01 | Activity Month: 2026-08-01 | Active Customers: 1 | Cohort Size: 11 | Retention: 9.09%
Cohort: 2026-01-01 | Activity Month: 2026-01-01 | Active Customers: 12 | Cohort Size: 12 | Retention: 100.0%
Cohort: 2026-01-01 | Activity Month: 2026-02-01 | Active Customers: 1 | Cohort Size: 12 | Retention: 8.33%
Cohort: 2026-01-01 | Activity Month: 2026-03-01 | Active Customers: 2 | Cohort Size: 12 | Retention: 16.67%
Cohort: 2026-01-01 | Activity Month: 2026-04-01 | Active Customers: 1 | Cohort Size: 12 | Retention: 8.33%
Cohort: 2026-01-01 | Activity Month: 2026-06-01 | Active Customers: 1 | Cohort Size: 12 | Retention: 8.33%
Cohort: 2026-02-01 | Activity Month: 2026-02-01 | Active Customers: 7 | Cohort Size: 7 | Retention: 100.0%
Cohort: 2026-02-01 | Activity Month: 2026-03-01 | Active Customers: 1 | Cohort Size: 7 | Retention: 14.29%
Cohort: 2026-02-01 | Activity Month: 2026-04-01 | Active Customers: 1 | Cohort Size: 7 | Retention: 14.29%
Cohort: 2026-02-01 | Activity Month: 2026-06-01 | Active Customers: 2 | Cohort Size: 7 | Retention: 28.57%
Cohort: 2026-03-01 | Activity Month: 2026-03-01 | Active Customers: 11 | Cohort Size: 11 | Retention: 100.0%
Cohort: 2026-03-01 | Activity Month: 2026-04-01 | Active Customers: 2 | Cohort Size: 11 | Retention: 18.18%
Cohort: 2026-03-01 | Activity Month: 2026-05-01 | Active Customers: 1 | Cohort Size: 11 | Retention: 9.09%
Cohort: 2026-03-01 | Activity Month: 2026-06-01 | Active Customers: 1 | Cohort Size: 11 | Retention: 9.09%
Cohort: 2026-04-01 | Activity Month: 2026-04-01 | Active Customers: 8 | Cohort Size: 8 | Retention: 100.0%
Cohort: 2026-04-01 | Activity Month: 2026-06-01 | Active Customers: 1 | Cohort Size: 8 | Retention: 12.5%
Cohort: 2026-05-01 | Activity Month: 2026-05-01 | Active Customers: 5 | Cohort Size: 5 | Retention: 100.0%
Cohort: 2026-05-01 | Activity Month: 2026-07-01 | Active Customers: 1 | Cohort Size: 5 | Retention: 20.0%
Cohort: 2026-06-01 | Activity Month: 2026-06-01 | Active Customers: 4 | Cohort Size: 4 | Retention: 100.0%
Cohort: 2026-07-01 | Activity Month: 2026-07-01 | Active Customers: 6 | Cohort Size: 6 | Retention: 100.0%
Cohort: 2026-08-01 | Activity Month: 2026-08-01 | Active Customers: 2 | Cohort Size: 2 | Retention: 100.0%
